,vmag,name,bayer,distance_ly,spectral_class,mass,radius
0,3.83,V382 Carinae,Car,"08,900",G2,20,485
1,4.82,P Cygni,P Cyg,"05,545",B1,30,76
2,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050"
3,5.2,61 Cygni,Cyg,011.41,K5,0.7,0.665
4,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298
5,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74
6,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85
7,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94
8,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158"
9,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51
10,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750
11,7.25,HD 140283,Lib,0190,F?,?,1.4
12,7.4,II Pegasi,Peg,0130,K2,0.8,3.4
13,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420"
14,8.3,Pistol Star,Sgr,"025,000",B3,100,320
15,8.6,S Doradus,Dor,"0169,000",B8,24,380
16,8.9,UY Scuti,Sct,"05,100",M4,7�10,755
17,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20
18,10.7,Luhman 16,Vel,06.52,L7,0.04,?
19,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15
20,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58
21,12.23,R136a1,Dor,"0163,000",WN5,290,32
22,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1
23,14.1,WR 102,Sag,"018,134",WO2,19,0.39
24,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47
25,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99
26,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21
27,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770"
28,17.3,VB 10,Aql,018.72,M8,0.075,0.10
29,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730"
30,18.8,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12
31,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086
32,28.4,Icarus,Leo,"014,400,000,000",B?,33,?
